id,key,slug,name,category,audience,description,eligibility,documents,benefits,process,apply_link,state,language
scheme_csv_011,pm-vishwakarma,pm-vishwakarma,"PM Vishwakarma Scheme","Skill Development",artisans,"Provides end-to-end support to artisans and craftspeople who work with their hands and tools.","An artisan or craftsperson working in one of the 18 family-based traditional trades.","Aadhaar Card, Mobile Number, Bank Details, Ration Card, Skill Certificate (if any)","Biometric registration, PM Vishwakarma Certificate, skill upgrading, toolkit incentive of Rs. 15,000, credit support up to Rs. 3 Lakh.","Apply online at CSC or the PM Vishwakarma portal, complete three-step verification, and obtain certificate.",https://pmvishwakarma.gov.in/,All India,en
scheme_csv_012,pm-awas-yojana-urban,pm-awas-yojana-urban,"Pradhan Mantri Awas Yojana - Urban (PMAY-U)","Housing",public,"Aims to provide all-weather pucca houses to eligible urban households.","Beneficiary family should not own a pucca house in their name anywhere in India. Annual income rules apply.","Aadhaar Card, Voter Card, Pan Card, Bank Account details, Income Certificate, Land ownership documents","Interest subsidy on home loans, financial assistance for house construction/enhancement.","Apply online through the PMAY-U portal or submit application via a Common Service Centre (CSC).",https://pmaymis.gov.in/,All India,en
scheme_csv_013,pm-awas-yojana-gramin,pm-awas-yojana-gramin,"Pradhan Mantri Awas Yojana - Gramin (PMAY-G)","Housing",rural,"Aims to provide a pucca house with basic amenities to all houseless households in rural areas.","Rural families living in kutcha/dilapidated houses as per SECC database.","Aadhaar Card, Bank Account details, Swachh Bharat Mission registration number, Job card number","Financial assistance of Rs. 1.2 Lakh in plains and Rs. 1.3 Lakh in hilly/difficult areas for house construction.","Beneficiary list generated based on SECC data. Gram Sabha validates list. Local administration contacts beneficiaries.",https://pmayg.nic.in/,All India,en
scheme_csv_014,atal-pension-yojana,atal-pension-yojana,"Atal Pension Yojana (APY)","Pension",public,"Pension scheme focused on the unorganized sector workers to secure their old age.","All citizens of India aged between 18 and 40 years holding a savings bank account.","Aadhaar Card, Bank Account Details, Mobile Number","Minimum guaranteed monthly pension of Rs. 1,000, 2,000, 3,000, 4,000, or 5,000 after the age of 60.","Approach the bank where savings account is held, fill APY registration form, and opt for auto-debit.",https://www.npscra.nsdl.co.in/,All India,en
scheme_csv_015,pm-kisan-maan-dhan,pm-kisan-maan-dhan,"PM Kisan Maan-Dhan Yojana","Pension",farmers,"Pension scheme to secure the lives of Small and Marginal Farmers in their old age.","Small and marginal farmers owning cultivable land up to 2 hectares, aged 18 to 40 years.","Aadhaar Card, Bank Account Details, Land Possession Document, KCC Card (optional)","Minimum assured pension of Rs. 3,000 per month after attaining the age of 60 years.","Apply online at nearest CSC or PM-KMDY portal. Farmers make monthly contribution matched by Central Government.",https://maandhan.in/,All India,en
scheme_csv_016,ladli-behna-yojana,ladli-behna-yojana,"Ladli Behna Yojana","Women Welfare",women,"State level scheme to support the health and economic independence of women.","Women residents of the specific state (e.g., MP) aged 21 to 60 years. Income limitations apply.","Samagra ID (if applicable), Aadhaar Card, Bank Account (DBT enabled), Photo","Monthly financial aid of Rs. 1,250 transferred directly to the beneficiary's bank account.","Submit applications at ward offices or through local camps, complete e-KYC, and verify registration.",https://cmladlibahna.mp.gov.in/,Madhya Pradesh,en
scheme_csv_017,pm-egp,pm-egp,"Prime Minister's Employment Generation Programme (PMEGP)","Employment",entrepreneurs,"Credit-linked subsidy program for generating self-employment opportunities through micro-enterprises.","Any individual above 18 years of age. At least VIII standard pass for project costs above 10 Lakh.","Aadhaar, Project Report, Education Certificate, Caste/Special Category Certificate, PAN","Subsidy of 15% to 35% on project costs up to Rs. 50 Lakh for manufacturing and Rs. 20 Lakh for service sector.","Apply online on the KVIC website, upload required documents, bank evaluates project and sanctions loan.",https://www.kviconline.gov.in/pmegpeportal/,All India,en
scheme_csv_018,digital-india-internship,digital-india-internship,"Digital India Internship Scheme","Education & Career",students,"Provides learning opportunities to students in the area of Electronics and IT policies/projects.","B.E/B.Tech/M.E/M.Tech/MCA/M.Sc (IT) students with minimum 60% marks in degree/class XII.","College Recommendation Letter, Marksheets, Aadhaar Card, Resume","Practical exposure in Ministry of Electronics and IT, monthly stipend of Rs. 10,000, and internship certificate.","Apply online during the active application window on MeitY portal and undergo screening interview.",https://www.meity.gov.in/,All India,en
scheme_csv_019,national-safai-karamcharis,national-safai-karamcharis,"NSKFDC Loan Schemes","Social Welfare",safai_karamcharis,"Financial assistance schemes for socio-economic upliftment of Safai Karamcharis and Scavengers.","Safai Karamcharis, manual scavengers, and their dependents. No income limit applies.","Identity/Address Proof, Occupation Certificate from local authority, Bank Passbook, Aadhaar","Concessional loans at low interest rates (4% to 6%) for starting self-employment ventures.","Apply through State Channelising Agencies (SCAs), Regional Rural Banks, or designated nationalized banks.",https://nskfdc.nic.in/,All India,en
scheme_csv_020,post-matric-sc-students,post-matric-sc-students,"Post Matric Scholarship for SC Students","Education",students,"Financial assistance to Scheduled Caste students studying at post-matriculation or post-secondary stages.","SC students whose parents' annual income does not exceed Rs. 2.5 Lakh.","Caste Certificate, Income Certificate, Academic Marksheets, Fee Receipt, Bank Details, Aadhaar","100% compulsory non-refundable fees and maintenance allowance paid directly to student bank accounts.","Register and apply on the National Scholarship Portal or State Scholarship Portal during active dates.",https://scholarships.gov.in/,All India,en
